County_State,County,State,Year,Unemployment_Rate
"Abbeville County, SC",Abbeville County,South Carolina,2010,13.8
"Abbeville County, SC",Abbeville County,South Carolina,2011,12.3
"Abbeville County, SC",Abbeville County,South Carolina,2012,10.4
"Abbeville County, SC",Abbeville County,South Carolina,2013,9.3
"Abbeville County, SC",Abbeville County,South Carolina,2014,7.5
"Abbeville County, SC",Abbeville County,South Carolina,2015,6.8
"Acadia Parish, LA",Acadia Parish,Louisiana,2010,6.8
"Acadia Parish, LA",Acadia Parish,Louisiana,2011,6.3
"Acadia Parish, LA",Acadia Parish,Louisiana,2012,5.7
"Acadia Parish, LA",Acadia Parish,Louisiana,2013,5.7
"Acadia Parish, LA",Acadia Parish,Louisiana,2014,5.6
"Acadia Parish, LA",Acadia Parish,Louisiana,2015,6.8
"Accomack County, VA",Accomack County,Virginia,2010,8.1
"Accomack County, VA",Accomack County,Virginia,2011,8.4
"Accomack County, VA",Accomack County,Virginia,2012,7.7
"Accomack County, VA",Accomack County,Virginia,2013,7
"Accomack County, VA",Accomack County,Virginia,2014,6.6
"Accomack County, VA",Accomack County,Virginia,2015,5.4
"Ada County, ID",Ada County,Idaho,2010,8.1
"Ada County, ID",Ada County,Idaho,2011,7.2
"Ada County, ID",Ada County,Idaho,2012,6.3
"Ada County, ID",Ada County,Idaho,2013,5.8
"Ada County, ID",Ada County,Idaho,2014,3.8
"Ada County, ID",Ada County,Idaho,2015,3.4
"Adair County, IA",Adair County,Iowa,2010,5.6
"Adair County, IA",Adair County,Iowa,2011,4.9
"Adair County, IA",Adair County,Iowa,2012,4.4
"Adair County, IA",Adair County,Iowa,2013,4.2
"Adair County, IA",Adair County,Iowa,2014,4
"Adair County, IA",Adair County,Iowa,2015,3.2
"Adair County, KY",Adair County,Kentucky,2010,12.5
"Adair County, KY",Adair County,Kentucky,2011,11.7
"Adair County, KY",Adair County,Kentucky,2012,9.5
"Adair County, KY",Adair County,Kentucky,2013,10.1
"Adair County, KY",Adair County,Kentucky,2014,8.6
"Adair County, KY",Adair County,Kentucky,2015,7.1
"Adair County, MO",Adair County,Missouri,2010,8.6
"Adair County, MO",Adair County,Missouri,2011,8.8
"Adair County, MO",Adair County,Missouri,2012,7.3
"Adair County, MO",Adair County,Missouri,2013,6.9
"Adair County, MO",Adair County,Missouri,2014,6.5
"Adair County, MO",Adair County,Missouri,2015,5.7
"Adair County, OK",Adair County,Oklahoma,2010,10.1
"Adair County, OK",Adair County,Oklahoma,2011,8.7
"Adair County, OK",Adair County,Oklahoma,2012,8.9
"Adair County, OK",Adair County,Oklahoma,2013,9.5
"Adair County, OK",Adair County,Oklahoma,2014,7.7
"Adair County, OK",Adair County,Oklahoma,2015,5.9
"Adams County, CO",Adams County,Colorado,2010,10.5
"Adams County, CO",Adams County,Colorado,2011,10.3
"Adams County, CO",Adams County,Colorado,2012,9.5
"Adams County, CO",Adams County,Colorado,2013,8
"Adams County, CO",Adams County,Colorado,2014,5.7
"Adams County, CO",Adams County,Colorado,2015,4.2
"Adams County, IA",Adams County,Iowa,2010,4.9
"Adams County, IA",Adams County,Iowa,2011,4.5
"Adams County, IA",Adams County,Iowa,2012,4
"Adams County, IA",Adams County,Iowa,2013,3.7
"Adams County, IA",Adams County,Iowa,2014,3.3
"Adams County, IA",Adams County,Iowa,2015,2.8
"Adams County, ID",Adams County,Idaho,2010,18
"Adams County, ID",Adams County,Idaho,2011,17.5
"Adams County, ID",Adams County,Idaho,2012,15.2
"Adams County, ID",Adams County,Idaho,2013,15
"Adams County, ID",Adams County,Idaho,2014,9.2
"Adams County, ID",Adams County,Idaho,2015,7.1
"Adams County, IL",Adams County,Illinois,2010,7.8
"Adams County, IL",Adams County,Illinois,2011,6.9
"Adams County, IL",Adams County,Illinois,2012,6.6
"Adams County, IL",Adams County,Illinois,2013,6.8
"Adams County, IL",Adams County,Illinois,2014,5.4
"Adams County, IL",Adams County,Illinois,2015,5
"Adams County, IN",Adams County,Indiana,2010,9.8
"Adams County, IN",Adams County,Indiana,2011,7.6
"Adams County, IN",Adams County,Indiana,2012,6.9
"Adams County, IN",Adams County,Indiana,2013,6
"Adams County, IN",Adams County,Indiana,2014,4.6
"Adams County, IN",Adams County,Indiana,2015,3.8
"Adams County, MS",Adams County,Mississippi,2010,11.2
"Adams County, MS",Adams County,Mississippi,2011,10.6
"Adams County, MS",Adams County,Mississippi,2012,9.7
"Adams County, MS",Adams County,Mississippi,2013,9.3
"Adams County, MS",Adams County,Mississippi,2014,8.4
"Adams County, MS",Adams County,Mississippi,2015,8.1
"Adams County, ND",Adams County,North Dakota,2010,2.8
"Adams County, ND",Adams County,North Dakota,2011,2.7
"Adams County, ND",Adams County,North Dakota,2012,2.7
"Adams County, ND",Adams County,North Dakota,2013,2.5
"Adams County, ND",Adams County,North Dakota,2014,2.6
"Adams County, ND",Adams County,North Dakota,2015,2.9
"Adams County, NE",Adams County,Nebraska,2010,4.8
"Adams County, NE",Adams County,Nebraska,2011,4.3
"Adams County, NE",Adams County,Nebraska,2012,3.7
"Adams County, NE",Adams County,Nebraska,2013,3.6
"Adams County, NE",Adams County,Nebraska,2014,3.4
"Adams County, NE",Adams County,Nebraska,2015,3.1
"Adams County, OH",Adams County,Ohio,2010,16
"Adams County, OH",Adams County,Ohio,2011,14.3
"Adams County, OH",Adams County,Ohio,2012,12.5
"Adams County, OH",Adams County,Ohio,2013,12.7
"Adams County, OH",Adams County,Ohio,2014,9.2
"Adams County, OH",Adams County,Ohio,2015,7.9
"Adams County, PA",Adams County,Pennsylvania,2010,7.5
"Adams County, PA",Adams County,Pennsylvania,2011,6.5
"Adams County, PA",Adams County,Pennsylvania,2012,6.3
"Adams County, PA",Adams County,Pennsylvania,2013,5.7
"Adams County, PA",Adams County,Pennsylvania,2014,4.6
"Adams County, PA",Adams County,Pennsylvania,2015,4.3
"Adams County, WA",Adams County,Washington,2010,9.5
"Adams County, WA",Adams County,Washington,2011,9.1
"Adams County, WA",Adams County,Washington,2012,8.3
"Adams County, WA",Adams County,Washington,2013,8.2
"Adams County, WA",Adams County,Washington,2014,6.9
"Adams County, WA",Adams County,Washington,2015,6.7
"Adams County, WI",Adams County,Wisconsin,2010,12.2
"Adams County, WI",Adams County,Wisconsin,2011,11.5
"Adams County, WI",Adams County,Wisconsin,2012,10.8
"Adams County, WI",Adams County,Wisconsin,2013,10.8
"Adams County, WI",Adams County,Wisconsin,2014,8.7
"Adams County, WI",Adams County,Wisconsin,2015,7.1
"Addison County, VT",Addison County,Vermont,2010,6
"Addison County, VT",Addison County,Vermont,2011,5
"Addison County, VT",Addison County,Vermont,2012,4.4
"Addison County, VT",Addison County,Vermont,2013,4.1
"Addison County, VT",Addison County,Vermont,2014,3.8
"Addison County, VT",Addison County,Vermont,2015,3.4
"Aiken County, SC",Aiken County,South Carolina,2010,9.4
"Aiken County, SC",Aiken County,South Carolina,2011,9.1
"Aiken County, SC",Aiken County,South Carolina,2012,8.4
"Aiken County, SC",Aiken County,South Carolina,2013,7.4
"Aiken County, SC",Aiken County,South Carolina,2014,6.3
"Aiken County, SC",Aiken County,South Carolina,2015,5.8
"Aitkin County, MN",Aitkin County,Minnesota,2010,10.4
"Aitkin County, MN",Aitkin County,Minnesota,2011,9.6
"Aitkin County, MN",Aitkin County,Minnesota,2012,8.1
"Aitkin County, MN",Aitkin County,Minnesota,2013,7.6
"Aitkin County, MN",Aitkin County,Minnesota,2014,6.8
"Aitkin County, MN",Aitkin County,Minnesota,2015,6.7
"Alachua County, FL",Alachua County,Florida,2010,7.8
"Alachua County, FL",Alachua County,Florida,2011,7.6
"Alachua County, FL",Alachua County,Florida,2012,6.8
"Alachua County, FL",Alachua County,Florida,2013,6
"Alachua County, FL",Alachua County,Florida,2014,5.4
"Alachua County, FL",Alachua County,Florida,2015,4.7
"Alamance County, NC",Alamance County,North Carolina,2010,10.8
"Alamance County, NC",Alamance County,North Carolina,2011,9.6
"Alamance County, NC",Alamance County,North Carolina,2012,8.7
"Alamance County, NC",Alamance County,North Carolina,2013,7.1
"Alamance County, NC",Alamance County,North Carolina,2014,5.5
"Alamance County, NC",Alamance County,North Carolina,2015,5.3
"Alameda County, CA",Alameda County,California,2010,11.2
"Alameda County, CA",Alameda County,California,2011,10.3
"Alameda County, CA",Alameda County,California,2012,8.8
"Alameda County, CA",Alameda County,California,2013,7.3
"Alameda County, CA",Alameda County,California,2014,5.9
"Alameda County, CA",Alameda County,California,2015,4.8
"Alamosa County, CO",Alamosa County,Colorado,2010,9.5
"Alamosa County, CO",Alamosa County,Colorado,2011,10.1
"Alamosa County, CO",Alamosa County,Colorado,2012,10.6
"Alamosa County, CO",Alamosa County,Colorado,2013,9.6
"Alamosa County, CO",Alamosa County,Colorado,2014,7.2
"Alamosa County, CO",Alamosa County,Colorado,2015,5
"Albany County, NY",Albany County,New York,2010,7.1
"Albany County, NY",Albany County,New York,2011,7
"Albany County, NY",Albany County,New York,2012,7.2
"Albany County, NY",Albany County,New York,2013,6.2
"Albany County, NY",Albany County,New York,2014,4.9
"Albany County, NY",Albany County,New York,2015,4.4
"Albany County, WY",Albany County,Wyoming,2010,4.8
"Albany County, WY",Albany County,Wyoming,2011,4.5
"Albany County, WY",Albany County,Wyoming,2012,4.4
"Albany County, WY",Albany County,Wyoming,2013,3.8
"Albany County, WY",Albany County,Wyoming,2014,3.6
"Albany County, WY",Albany County,Wyoming,2015,3.1
"Albemarle County, VA",Albemarle County,Virginia,2010,6.1
"Albemarle County, VA",Albemarle County,Virginia,2011,5.6
"Albemarle County, VA",Albemarle County,Virginia,2012,5.1
"Albemarle County, VA",Albemarle County,Virginia,2013,4.7
"Albemarle County, VA",Albemarle County,Virginia,2014,4.4
"Albemarle County, VA",Albemarle County,Virginia,2015,3.8
"Alcona County, MI",Alcona County,Michigan,2010,17.3
"Alcona County, MI",Alcona County,Michigan,2011,13.8
"Alcona County, MI",Alcona County,Michigan,2012,12.5
"Alcona County, MI",Alcona County,Michigan,2013,13.2
"Alcona County, MI",Alcona County,Michigan,2014,10.6
"Alcona County, MI",Alcona County,Michigan,2015,8.1
"Alcorn County, MS",Alcorn County,Mississippi,2010,11.2
"Alcorn County, MS",Alcorn County,Mississippi,2011,10.6
"Alcorn County, MS",Alcorn County,Mississippi,2012,8.5
"Alcorn County, MS",Alcorn County,Mississippi,2013,7.7
"Alcorn County, MS",Alcorn County,Mississippi,2014,6.7
"Alcorn County, MS",Alcorn County,Mississippi,2015,5.7
"Aleutians East Borough, AK",Aleutians East Borough,Alaska,2010,5.8
"Aleutians East Borough, AK",Aleutians East Borough,Alaska,2011,6.3
"Aleutians East Borough, AK",Aleutians East Borough,Alaska,2012,6.9
"Aleutians East Borough, AK",Aleutians East Borough,Alaska,2013,6.1
"Aleutians East Borough, AK",Aleutians East Borough,Alaska,2014,4.4
"Aleutians East Borough, AK",Aleutians East Borough,Alaska,2015,3.1
"Aleutians West Census Area, AK",Aleutians West Census Area,Alaska,2010,5.2
"Aleutians West Census Area, AK",Aleutians West Census Area,Alaska,2011,6
"Aleutians West Census Area, AK",Aleutians West Census Area,Alaska,2012,7
"Aleutians West Census Area, AK",Aleutians West Census Area,Alaska,2013,6.9
"Aleutians West Census Area, AK",Aleutians West Census Area,Alaska,2014,4.7
"Aleutians West Census Area, AK",Aleutians West Census Area,Alaska,2015,3.7
"Alexander County, IL",Alexander County,Illinois,2010,11.9
"Alexander County, IL",Alexander County,Illinois,2011,12.9
"Alexander County, IL",Alexander County,Illinois,2012,12
"Alexander County, IL",Alexander County,Illinois,2013,12.6
"Alexander County, IL",Alexander County,Illinois,2014,10.8
"Alexander County, IL",Alexander County,Illinois,2015,9.2
"Alexander County, NC",Alexander County,North Carolina,2010,12.9
"Alexander County, NC",Alexander County,North Carolina,2011,11.3
"Alexander County, NC",Alexander County,North Carolina,2012,9.8
"Alexander County, NC",Alexander County,North Carolina,2013,7.6
"Alexander County, NC",Alexander County,North Carolina,2014,5.5
"Alexander County, NC",Alexander County,North Carolina,2015,4.9
"Alexandria city, VA",Alexandria city,Virginia,2010,5
"Alexandria city, VA",Alexandria city,Virginia,2011,4.4
"Alexandria city, VA",Alexandria city,Virginia,2012,4
"Alexandria city, VA",Alexandria city,Virginia,2013,4
"Alexandria city, VA",Alexandria city,Virginia,2014,3.8
"Alexandria city, VA",Alexandria city,Virginia,2015,3.2
"Alfalfa County, OK",Alfalfa County,Oklahoma,2010,4.7
"Alfalfa County, OK",Alfalfa County,Oklahoma,2011,3.9
"Alfalfa County, OK",Alfalfa County,Oklahoma,2012,2.8
"Alfalfa County, OK",Alfalfa County,Oklahoma,2013,3.2
"Alfalfa County, OK",Alfalfa County,Oklahoma,2014,2.4
"Alfalfa County, OK",Alfalfa County,Oklahoma,2015,2.9
"Alger County, MI",Alger County,Michigan,2010,13.7
"Alger County, MI",Alger County,Michigan,2011,12.2
"Alger County, MI",Alger County,Michigan,2012,11.8
"Alger County, MI",Alger County,Michigan,2013,11.6
"Alger County, MI",Alger County,Michigan,2014,10.4
"Alger County, MI",Alger County,Michigan,2015,8.6
"Allamakee County, IA",Allamakee County,Iowa,2010,8
"Allamakee County, IA",Allamakee County,Iowa,2011,7.3
"Allamakee County, IA",Allamakee County,Iowa,2012,6.5
"Allamakee County, IA",Allamakee County,Iowa,2013,6.3
"Allamakee County, IA",Allamakee County,Iowa,2014,5.6
"Allamakee County, IA",Allamakee County,Iowa,2015,4.8
"Allegan County, MI",Allegan County,Michigan,2010,11
"Allegan County, MI",Allegan County,Michigan,2011,8.4
"Allegan County, MI",Allegan County,Michigan,2012,7.3
"Allegan County, MI",Allegan County,Michigan,2013,6.6
"Allegan County, MI",Allegan County,Michigan,2014,5.4
"Allegan County, MI",Allegan County,Michigan,2015,4.2
"Allegany County, MD",Allegany County,Maryland,2010,9.5
"Allegany County, MD",Allegany County,Maryland,2011,9.1
"Allegany County, MD",Allegany County,Maryland,2012,8.8
"Allegany County, MD",Allegany County,Maryland,2013,8.4
"Allegany County, MD",Allegany County,Maryland,2014,7.5
"Allegany County, MD",Allegany County,Maryland,2015,6.8
"Allegany County, NY",Allegany County,New York,2010,9.3
"Allegany County, NY",Allegany County,New York,2011,9
"Allegany County, NY",Allegany County,New York,2012,8.5
"Allegany County, NY",Allegany County,New York,2013,7.7
"Allegany County, NY",Allegany County,New York,2014,6.3
"Allegany County, NY",Allegany County,New York,2015,6.5
"Alleghany County, NC",Alleghany County,North Carolina,2010,11.9
"Alleghany County, NC",Alleghany County,North Carolina,2011,12.2
"Alleghany County, NC",Alleghany County,North Carolina,2012,10.7
"Alleghany County, NC",Alleghany County,North Carolina,2013,8.5
"Alleghany County, NC",Alleghany County,North Carolina,2014,6.6
"Alleghany County, NC",Alleghany County,North Carolina,2015,6.1
"Alleghany County, VA",Alleghany County,Virginia,2010,8.8
"Alleghany County, VA",Alleghany County,Virginia,2011,7.8
"Alleghany County, VA",Alleghany County,Virginia,2012,6.9
"Alleghany County, VA",Alleghany County,Virginia,2013,6.4
"Alleghany County, VA",Alleghany County,Virginia,2014,5.8
"Alleghany County, VA",Alleghany County,Virginia,2015,5
"Allegheny County, PA",Allegheny County,Pennsylvania,2010,7.3
"Allegheny County, PA",Allegheny County,Pennsylvania,2011,6.9
"Allegheny County, PA",Allegheny County,Pennsylvania,2012,6.8
"Allegheny County, PA",Allegheny County,Pennsylvania,2013,6.3
"Allegheny County, PA",Allegheny County,Pennsylvania,2014,5.4
"Allegheny County, PA",Allegheny County,Pennsylvania,2015,5
"Allen County, IN",Allen County,Indiana,2010,10.5
"Allen County, IN",Allen County,Indiana,2011,9.1
"Allen County, IN",Allen County,Indiana,2012,8.3
"Allen County, IN",Allen County,Indiana,2013,7.4
"Allen County, IN",Allen County,Indiana,2014,5.7
"Allen County, IN",Allen County,Indiana,2015,4.6
"Allen County, KS",Allen County,Kansas,2010,8.1
"Allen County, KS",Allen County,Kansas,2011,7.9
"Allen County, KS",Allen County,Kansas,2012,7.1
"Allen County, KS",Allen County,Kansas,2013,6.1
"Allen County, KS",Allen County,Kansas,2014,5
"Allen County, KS",Allen County,Kansas,2015,5.1
"Allen County, KY",Allen County,Kentucky,2010,11.8
"Allen County, KY",Allen County,Kentucky,2011,9.8
"Allen County, KY",Allen County,Kentucky,2012,8
"Allen County, KY",Allen County,Kentucky,2013,7.4
"Allen County, KY",Allen County,Kentucky,2014,5.9
"Allen County, KY",Allen County,Kentucky,2015,4.8
"Allen County, OH",Allen County,Ohio,2010,10.7
"Allen County, OH",Allen County,Ohio,2011,9.5
"Allen County, OH",Allen County,Ohio,2012,7.7
"Allen County, OH",Allen County,Ohio,2013,7.8
"Allen County, OH",Allen County,Ohio,2014,5.8
"Allen County, OH",Allen County,Ohio,2015,4.9
"Allen Parish, LA",Allen Parish,Louisiana,2010,9.3
"Allen Parish, LA",Allen Parish,Louisiana,2011,8.7
"Allen Parish, LA",Allen Parish,Louisiana,2012,7.6
"Allen Parish, LA",Allen Parish,Louisiana,2013,7.2
"Allen Parish, LA",Allen Parish,Louisiana,2014,7.1
"Allen Parish, LA",Allen Parish,Louisiana,2015,6.9
"Allendale County, SC",Allendale County,South Carolina,2010,19.3
"Allendale County, SC",Allendale County,South Carolina,2011,18.1
"Allendale County, SC",Allendale County,South Carolina,2012,16.6
"Allendale County, SC",Allendale County,South Carolina,2013,13.7
"Allendale County, SC",Allendale County,South Carolina,2014,11.9
"Allendale County, SC",Allendale County,South Carolina,2015,11.2
"Alpena County, MI",Alpena County,Michigan,2010,12.8
"Alpena County, MI",Alpena County,Michigan,2011,10.4
"Alpena County, MI",Alpena County,Michigan,2012,9.6
"Alpena County, MI",Alpena County,Michigan,2013,9.6
"Alpena County, MI",Alpena County,Michigan,2014,8
"Alpena County, MI",Alpena County,Michigan,2015,6.3
"Alpine County, CA",Alpine County,California,2010,13.1
"Alpine County, CA",Alpine County,California,2011,12.9
"Alpine County, CA",Alpine County,California,2012,11.2
"Alpine County, CA",Alpine County,California,2013,9.8
"Alpine County, CA",Alpine County,California,2014,8.3
"Alpine County, CA",Alpine County,California,2015,7.5
"Amador County, CA",Amador County,California,2010,14.4
"Amador County, CA",Amador County,California,2011,13.8
"Amador County, CA",Amador County,California,2012,12.5
"Amador County, CA",Amador County,California,2013,10.4
"Amador County, CA",Amador County,California,2014,8.4
"Amador County, CA",Amador County,California,2015,6.6
"Amelia County, VA",Amelia County,Virginia,2010,8.7
"Amelia County, VA",Amelia County,Virginia,2011,7.5
"Amelia County, VA",Amelia County,Virginia,2012,6.4
"Amelia County, VA",Amelia County,Virginia,2013,5.8
"Amelia County, VA",Amelia County,Virginia,2014,5.2
"Amelia County, VA",Amelia County,Virginia,2015,4.4
"Amherst County, VA",Amherst County,Virginia,2010,8.2
"Amherst County, VA",Amherst County,Virginia,2011,7.2
"Amherst County, VA",Amherst County,Virginia,2012,6.6
"Amherst County, VA",Amherst County,Virginia,2013,6
"Amherst County, VA",Amherst County,Virginia,2014,5.3
"Amherst County, VA",Amherst County,Virginia,2015,4.7
"Amite County, MS",Amite County,Mississippi,2010,11.6
"Amite County, MS",Amite County,Mississippi,2011,11.2
"Amite County, MS",Amite County,Mississippi,2012,9.9
"Amite County, MS",Amite County,Mississippi,2013,9.1
"Amite County, MS",Amite County,Mississippi,2014,8.1
"Amite County, MS",Amite County,Mississippi,2015,7.7
"Anchorage Borough/municipality, AK",Anchorage Borough/municipality,Alaska,2010,6.8
"Anchorage Borough/municipality, AK",Anchorage Borough/municipality,Alaska,2011,6.1
"Anchorage Borough/municipality, AK",Anchorage Borough/municipality,Alaska,2012,5.4
"Anchorage Borough/municipality, AK",Anchorage Borough/municipality,Alaska,2013,5.2
"Anchorage Borough/municipality, AK",Anchorage Borough/municipality,Alaska,2014,5.1
"Anchorage Borough/municipality, AK",Anchorage Borough/municipality,Alaska,2015,4.9
"Anderson County, KS",Anderson County,Kansas,2010,7.6
"Anderson County, KS",Anderson County,Kansas,2011,7.5
"Anderson County, KS",Anderson County,Kansas,2012,6.5
"Anderson County, KS",Anderson County,Kansas,2013,5.8
"Anderson County, KS",Anderson County,Kansas,2014,5.1
"Anderson County, KS",Anderson County,Kansas,2015,4.8
"Anderson County, KY",Anderson County,Kentucky,2010,9.7
"Anderson County, KY",Anderson County,Kentucky,2011,8.3
"Anderson County, KY",Anderson County,Kentucky,2012,6.9
"Anderson County, KY",Anderson County,Kentucky,2013,6.4
"Anderson County, KY",Anderson County,Kentucky,2014,5.2
"Anderson County, KY",Anderson County,Kentucky,2015,4.1
"Anderson County, SC",Anderson County,South Carolina,2010,11.7
"Anderson County, SC",Anderson County,South Carolina,2011,10.2
"Anderson County, SC",Anderson County,South Carolina,2012,8.7
"Anderson County, SC",Anderson County,South Carolina,2013,6.9
"Anderson County, SC",Anderson County,South Carolina,2014,5.8
"Anderson County, SC",Anderson County,South Carolina,2015,5.3
"Anderson County, TN",Anderson County,Tennessee,2010,9.5
"Anderson County, TN",Anderson County,Tennessee,2011,8.9
"Anderson County, TN",Anderson County,Tennessee,2012,8.1
"Anderson County, TN",Anderson County,Tennessee,2013,7.9
"Anderson County, TN",Anderson County,Tennessee,2014,6.8
"Anderson County, TN",Anderson County,Tennessee,2015,5.8
"Anderson County, TX",Anderson County,Texas,2010,8.1
"Anderson County, TX",Anderson County,Texas,2011,7.5
"Anderson County, TX",Anderson County,Texas,2012,6.3
"Anderson County, TX",Anderson County,Texas,2013,5.8
"Anderson County, TX",Anderson County,Texas,2014,4.7
"Anderson County, TX",Anderson County,Texas,2015,4
"Andrew County, MO",Andrew County,Missouri,2010,8.2
"Andrew County, MO",Andrew County,Missouri,2011,7.1
"Andrew County, MO",Andrew County,Missouri,2012,5.5
"Andrew County, MO",Andrew County,Missouri,2013,5.4
"Andrew County, MO",Andrew County,Missouri,2014,5.2
"Andrew County, MO",Andrew County,Missouri,2015,4.2
"Andrews County, TX",Andrews County,Texas,2010,6.2
"Andrews County, TX",Andrews County,Texas,2011,5.2
"Andrews County, TX",Andrews County,Texas,2012,4
"Andrews County, TX",Andrews County,Texas,2013,3.8
"Andrews County, TX",Andrews County,Texas,2014,3
"Andrews County, TX",Andrews County,Texas,2015,3.5
"Androscoggin County, ME",Androscoggin County,Maine,2010,8.9
"Androscoggin County, ME",Androscoggin County,Maine,2011,7.9
"Androscoggin County, ME",Androscoggin County,Maine,2012,7.5
"Androscoggin County, ME",Androscoggin County,Maine,2013,6.7
"Androscoggin County, ME",Androscoggin County,Maine,2014,5.4
"Androscoggin County, ME",Androscoggin County,Maine,2015,4.2
"Angelina County, TX",Angelina County,Texas,2010,8.6
"Angelina County, TX",Angelina County,Texas,2011,8.2
"Angelina County, TX",Angelina County,Texas,2012,6.9
"Angelina County, TX",Angelina County,Texas,2013,6.5
"Angelina County, TX",Angelina County,Texas,2014,5.3
"Angelina County, TX",Angelina County,Texas,2015,5.6
"Anne Arundel County, MD",Anne Arundel County,Maryland,2010,7.1
"Anne Arundel County, MD",Anne Arundel County,Maryland,2011,6.4
"Anne Arundel County, MD",Anne Arundel County,Maryland,2012,5.9
"Anne Arundel County, MD",Anne Arundel County,Maryland,2013,5.6
"Anne Arundel County, MD",Anne Arundel County,Maryland,2014,5
"Anne Arundel County, MD",Anne Arundel County,Maryland,2015,4.3
"Anoka County, MN",Anoka County,Minnesota,2010,8
"Anoka County, MN",Anoka County,Minnesota,2011,6.9
"Anoka County, MN",Anoka County,Minnesota,2012,5.9
"Anoka County, MN",Anoka County,Minnesota,2013,5.1
"Anoka County, MN",Anoka County,Minnesota,2014,4.2
"Anoka County, MN",Anoka County,Minnesota,2015,3.7
"Anson County, NC",Anson County,North Carolina,2010,14
"Anson County, NC",Anson County,North Carolina,2011,12.3
"Anson County, NC",Anson County,North Carolina,2012,11.2
"Anson County, NC",Anson County,North Carolina,2013,9.2
"Anson County, NC",Anson County,North Carolina,2014,6.9
"Anson County, NC",Anson County,North Carolina,2015,6.5
"Antelope County, NE",Antelope County,Nebraska,2010,3.7
"Antelope County, NE",Antelope County,Nebraska,2011,3.6
"Antelope County, NE",Antelope County,Nebraska,2012,3.2
"Antelope County, NE",Antelope County,Nebraska,2013,3.1
"Antelope County, NE",Antelope County,Nebraska,2014,2.7
"Antelope County, NE",Antelope County,Nebraska,2015,2.6
"Antrim County, MI",Antrim County,Michigan,2010,15.5
"Antrim County, MI",Antrim County,Michigan,2011,12.8
"Antrim County, MI",Antrim County,Michigan,2012,11.4
"Antrim County, MI",Antrim County,Michigan,2013,11.3
"Antrim County, MI",Antrim County,Michigan,2014,9.5
"Antrim County, MI",Antrim County,Michigan,2015,7.6
"Apache County, AZ",Apache County,Arizona,2010,16.3
"Apache County, AZ",Apache County,Arizona,2011,18.3
"Apache County, AZ",Apache County,Arizona,2012,19
"Apache County, AZ",Apache County,Arizona,2013,18.5
"Apache County, AZ",Apache County,Arizona,2014,15.7
"Apache County, AZ",Apache County,Arizona,2015,13.3
"Appanoose County, IA",Appanoose County,Iowa,2010,7.4
"Appanoose County, IA",Appanoose County,Iowa,2011,7
"Appanoose County, IA",Appanoose County,Iowa,2012,6.6
"Appanoose County, IA",Appanoose County,Iowa,2013,6.4
"Appanoose County, IA",Appanoose County,Iowa,2014,5.7
"Appanoose County, IA",Appanoose County,Iowa,2015,4.8
"Appling County, GA",Appling County,Georgia,2010,12
"Appling County, GA",Appling County,Georgia,2011,12.2
"Appling County, GA",Appling County,Georgia,2012,11
"Appling County, GA",Appling County,Georgia,2013,10.7
"Appling County, GA",Appling County,Georgia,2014,8.9
"Appling County, GA",Appling County,Georgia,2015,7.4
"Appomattox County, VA",Appomattox County,Virginia,2010,8.8
"Appomattox County, VA",Appomattox County,Virginia,2011,7.9
"Appomattox County, VA",Appomattox County,Virginia,2012,7.3
"Appomattox County, VA",Appomattox County,Virginia,2013,6.3
"Appomattox County, VA",Appomattox County,Virginia,2014,5.6
"Appomattox County, VA",Appomattox County,Virginia,2015,4.8
"Aransas County, TX",Aransas County,Texas,2010,9.2
"Aransas County, TX",Aransas County,Texas,2011,9
"Aransas County, TX",Aransas County,Texas,2012,6.9
"Aransas County, TX",Aransas County,Texas,2013,6.6
"Aransas County, TX",Aransas County,Texas,2014,5.6
"Aransas County, TX",Aransas County,Texas,2015,5.1
"Arapahoe County, CO",Arapahoe County,Colorado,2010,9
"Arapahoe County, CO",Arapahoe County,Colorado,2011,8.6
"Arapahoe County, CO",Arapahoe County,Colorado,2012,7.8
"Arapahoe County, CO",Arapahoe County,Colorado,2013,6.5
"Arapahoe County, CO",Arapahoe County,Colorado,2014,4.9
"Arapahoe County, CO",Arapahoe County,Colorado,2015,3.6
"Archer County, TX",Archer County,Texas,2010,6.7
"Archer County, TX",Archer County,Texas,2011,6.3
"Archer County, TX",Archer County,Texas,2012,5.5
"Archer County, TX",Archer County,Texas,2013,5.3
"Archer County, TX",Archer County,Texas,2014,4.6
"Archer County, TX",Archer County,Texas,2015,4.5
"Archuleta County, CO",Archuleta County,Colorado,2010,11.1
"Archuleta County, CO",Archuleta County,Colorado,2011,10.4
"Archuleta County, CO",Archuleta County,Colorado,2012,10.2
"Archuleta County, CO",Archuleta County,Colorado,2013,8.6
"Archuleta County, CO",Archuleta County,Colorado,2014,6
"Archuleta County, CO",Archuleta County,Colorado,2015,3.9
"Arenac County, MI",Arenac County,Michigan,2010,16
"Arenac County, MI",Arenac County,Michigan,2011,13.5
"Arenac County, MI",Arenac County,Michigan,2012,12.6
"Arenac County, MI",Arenac County,Michigan,2013,12.9
"Arenac County, MI",Arenac County,Michigan,2014,11.1
"Arenac County, MI",Arenac County,Michigan,2015,9.1
"Arkansas County, AR",Arkansas County,Arkansas,2010,17.9
"Arkansas County, AR",Arkansas County,Arkansas,2011,11.6
